imputer,scaler,model,val_accuracy,val_f1,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
knn,minmax,random_forest,0.7727,0.6465,0.87,0.7403,0.6458,0.5741,0.6078,0.817
knn,standard,random_forest,0.7727,0.6465,0.869,0.7403,0.6458,0.5741,0.6078,0.8168
median,standard,logistic,0.7792,0.6531,0.8498,0.7078,0.6,0.5,0.5455,0.8167
iterative,minmax,random_forest,0.7922,0.68,0.8572,0.7273,0.625,0.5556,0.5882,0.8156
knn,standard,logistic,0.7922,0.6667,0.8526,0.7143,0.6136,0.5,0.551,0.8154
iterative,standard,random_forest,0.7857,0.6733,0.8556,0.7273,0.625,0.5556,0.5882,0.8153
median,minmax,random_forest,0.7857,0.6733,0.8596,0.7338,0.6383,0.5556,0.5941,0.8149
iterative,standard,logistic,0.7857,0.6598,0.8476,0.7143,0.619,0.4815,0.5417,0.8148
median,standard,random_forest,0.7792,0.6667,0.8604,0.7338,0.6383,0.5556,0.5941,0.8136
knn,minmax,logistic,0.8117,0.6882,0.873,0.7208,0.6341,0.4815,0.5474,0.8117
median,minmax,logistic,0.8117,0.6882,0.8659,0.7273,0.65,0.4815,0.5532,0.8098
iterative,minmax,logistic,0.8117,0.6882,0.8709,0.7208,0.6279,0.5,0.5567,0.8093
